Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
2001,24,NWE,QB,12,15,14,36,43,0,12,1.2,2.9,2.4,1,1,23,23,0,23,0.1,1.5,66,0,12,
2002,25,NWE,QB,12,16,16,42,110,1,15,2.6,6.9,2.6,,,,,,,,,110,1,11,
2003,26,NWE,QB,12,16,16,42,63,1,11,1.5,3.9,2.6,,,,,,,,,63,1,13,
2004,27,NWE,QB,12,16,16,43,28,0,10,0.7,1.8,2.7,,,,,,,,,28,0,7,
2005,28,NWE,QB,12,16,16,27,89,1,15,3.3,5.6,1.7,,,,,,,,,89,1,4,
2006,29,NWE,QB,12,16,16,49,102,0,22,2.1,6.4,3.1,,,,,,,,,102,0,12,
2007,30,NWE,QB,12,16,16,37,98,2,19,2.6,6.1,2.3,,,,,,,,,98,2,6,
2009,32,NWE,QB,12,16,16,29,44,1,9,1.5,2.8,1.8,,,,,,,,,44,1,4,
2010,33,NWE,QB,12,16,16,31,30,1,9,1,1.9,1.9,,,,,,,,,30,1,3,
2011,34,NWE,QB,12,16,16,43,109,3,13,2.5,6.8,2.7,,,,,,,,,109,3,6,
2012,35,NWE,QB,12,16,16,23,32,4,7,1.4,2,1.4,,,,,,,,,32,4,2,
2013,36,NWE,QB,12,16,16,32,18,0,11,0.6,1.1,2,,,,,,,,,18,0,10,
2014,37,NWE,QB,12,16,16,36,57,0,17,1.6,3.6,2.3,,,,,,,,,57,0,6,
2015,38,NWE,QB,12,16,16,34,53,3,13,1.6,3.3,2.1,1,1,36,36,0,36,0.1,2.3,89,3,6,
