Year,Age,Tm,Pos,No,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Rushing_Y_A,Rushing_Y_G,Rushing_A_G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y_G,Receiving_TD,Receiving_Lng,Receiving_R_G,Receiving_Y_G,YScm,RRTD,Fmb,AV
1999,28,STL,QB,13,16,16,23,92,1,22,4,5.8,1.4,,,,,,,,,92,1,9,
2000,29,STL,QB,13,11,11,18,17,0,11,0.9,1.5,1.6,,,,,,,,,17,0,4,
2001,30,STL,QB,13,16,16,28,60,0,23,2.1,3.8,1.8,,,,,,,,,60,0,10,
2002,31,STL,QB,13,7,6,8,33,0,9,4.1,4.7,1.1,,,,,,,,,33,0,8,
2003,32,STL,QB,13,2,1,1,0,0,0,0,0,0.5,,,,,,,,,0,0,6,
2004,33,NYG,QB,13,10,9,13,30,1,13,2.3,3,1.3,,,,,,,,,30,1,12,
2005,34,ARI,QB,13,10,10,13,28,0,13,2.2,2.8,1.3,1,1,0,0,0,0,0.1,0,28,0,9,
2006,35,ARI,QB,13,6,5,13,3,0,9,0.2,0.5,2.2,,,,,,,,,3,0,10,
2007,36,ARI,QB,13,14,11,17,15,1,9,0.9,1.1,1.2,,,,,,,,,15,1,12,
2008,37,ARI,QB,13,16,16,18,-2,0,11,-0.1,-0.1,1.1,,,,,,,,,-2,0,11,
2009,38,ARI,QB,13,15,15,21,10,0,10,0.5,0.7,1.4,,,,,,,,,10,0,11,
