
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2003,20,FLA,NL,87,346,314,39,84,21,3,12,62,0,2,25,84,.268,.325,.468,.793,106,147,12,2,4,1,3,75,MVP-27RoY-5
2004 ★,21,FLA,NL,160,685,603,101,177,31,1,33,112,5,2,68,148,.294,.366,.512,.879,130,309,20,6,0,8,5,*97/D,ASMVP-22
2005 ★,22,FLA,NL,158,685,613,106,198,43,2,33,116,1,0,64,125,.323,.385,.561,.947,151,344,20,2,0,6,12,*75,ASMVP-5SS
2006 ★,23,FLA,NL,158,676,576,112,195,50,2,26,114,9,6,86,108,.339,.430,.568,.998,159,327,18,10,0,4,27,*5/D,ASMVP-5SS
2007 ★,24,FLA,NL,157,680,588,91,188,38,2,34,119,2,1,79,127,.320,.401,.565,.965,150,332,17,5,1,7,23,*5/D,ASMVP-15
2008,25,DET,AL,160,684,616,85,180,36,2,37,127,1,0,56,126,.292,.349,.537,.887,130,331,16,3,0,9,6,*35/D,MVP-13
2009,26,DET,AL,160,685,611,96,198,34,0,34,103,6,2,68,107,.324,.396,.547,.942,144,334,22,5,0,1,14,*3/D,MVP-4
2010 ★,27,DET,AL,150,648,548,111,180,45,1,38,126,3,3,89,95,.328,.420,.622,1.042,178,341,17,3,0,8,32,*3/D,ASMVP-2SS
2011 ★,28,DET,AL,161,688,572,111,197,48,0,30,105,2,1,108,89,.344,.448,.586,1.033,179,335,24,3,0,5,22,*3/D,ASMVP-5
2012 ★,29,DET,AL,161,697,622,109,205,40,0,44,139,4,1,66,98,.330,.393,.606,.999,164,377,28,3,0,6,17,*5/D3,ASMVP-1SS
2013 ★,30,DET,AL,148,652,555,103,193,26,1,44,137,3,0,90,94,.348,.442,.636,1.078,190,353,19,5,0,2,19,*5/D,ASMVP-1SS
2014 ★,31,DET,AL,159,685,611,101,191,52,1,25,109,1,1,60,117,.313,.371,.524,.895,150,320,21,3,0,11,10,*3D5,ASMVP-9
2015 ★,32,DET,AL,119,511,429,64,145,28,1,18,76,1,1,77,82,.338,.440,.534,.974,170,229,19,3,0,2,15,3D,ASMVP-11SS
2016,33,DET,AL,14,63,56,7,13,3,0,1,6,0,0,7,13,.232,.317,.339,.657,88,19,2,0,0,0,2,*3,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,1952,8385,7314,1236,2344,495,16,409,1451,38,20,943,1413,.320,.399,.560,.959,154,4098,255,53,5,70,207,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,696,607,103,195,41,1,34,120,3,2,78,117,.320,.399,.560,.959,154,340,21,4,0,6,17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (9 yrs),DET (9 yrs),DET (9 yrs),DET (9 yrs),1232,5313,4620,787,1502,312,6,271,928,21,9,621,821,.325,.405,.571,.976,161,2639,168,28,0,44,137,,
FLA (5 yrs),FLA (5 yrs),FLA (5 yrs),FLA (5 yrs),720,3072,2694,449,842,183,10,138,523,17,11,322,592,.313,.388,.542,.929,143,1459,87,25,5,26,70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (9 yrs),AL (9 yrs),AL (9 yrs),AL (9 yrs),1232,5313,4620,787,1502,312,6,271,928,21,9,621,821,.325,.405,.571,.976,161,2639,168,28,0,44,137,,
NL (5 yrs),NL (5 yrs),NL (5 yrs),NL (5 yrs),720,3072,2694,449,842,183,10,138,523,17,11,322,592,.313,.388,.542,.929,143,1459,87,25,5,26,70,,
