Season,Age,Tm,Lg,GP,G,A,PTS,Plus_Minus,PIM,EV,PP,SH,GW,EV,PP,SH,S,S_Percentage,TSA,TOI,ATOI,FOwin,FOloss,FO_Percentage,HIT,BLK,TK,GV,Awards
1993-94,19,HAR,NHL,81,5,25,30,-3,113,3,2,0,0,13,11,1,174,2.9,,,,,,,0,0,,,
1994-95,20,HAR,NHL,43,5,9,14,-12,54,2,3,0,1,7,2,0,94,5.3,,,,,,,0,0,,,
1995-96,21,STL,NHL,78,7,18,25,-18,110,3,3,1,1,10,8,0,138,5.1,,,,,,,0,0,,,
1996-97,22,STL,NHL,79,11,24,35,15,143,7,4,0,0,13,11,0,147,7.5,,,,,,,0,0,,,AS-15Norris-15
1997-98,23,STL,NHL,81,9,27,36,47,180,8,1,0,2,17,8,2,145,6.2,,,,,,,0,0,,,AS-3AS-2Hart-15Norris-3
1998-99,24,STL,NHL,67,13,33,46,3,113,5,8,0,0,15,17,1,172,7.6,,2050,30:36:00,,,,0,0,,,AS-5Norris-4
1999-00,25,STL,NHL,79,14,48,62,52,92,6,8,0,3,27,18,3,192,7.3,,2389,30:14:00,,,,0,0,,,AS-1Hart-1Norris-1
2000-01,26,STL,NHL,51,8,39,47,21,75,4,4,0,0,14,23,2,121,6.6,,1415,27:45:00,,,,0,0,,,AS-10Norris-10
2001-02,27,STL,NHL,78,7,40,47,23,120,2,4,1,3,16,24,0,204,3.4,,2299,29:28:00,,,,0,0,,,AS-5Norris-5
2002-03,28,STL,NHL,5,1,3,4,-2,10,1,0,0,0,3,0,0,11,9.1,,108,21:39,,,,0,0,,,
2003-04,29,STL,NHL,80,14,40,54,-1,88,7,7,0,3,13,24,3,203,6.9,,2197,27:28:00,,,,0,0,,,AS-3AS-2Hart-16Norris-3
2005-06,31,EDM,NHL,80,12,44,56,2,74,2,10,0,3,12,32,0,155,7.7,,2239,27:59:00,,,,0,0,,,AS-5Hart-26Norris-7
2006-07,32,ANA,NHL,66,13,46,59,27,69,5,8,0,2,18,28,0,166,7.8,,1789,27:06:00,,,,0,0,,,AS-3AS-2Hart-22Norris-3
2007-08,33,ANA,NHL,72,12,31,43,-1,128,4,8,0,4,8,22,1,182,6.6,355,1872,26:00:00,4,3,57.1,74,99,39,37,AS-8Norris-8
2008-09,34,ANA,NHL,82,11,37,48,0,88,7,4,0,2,12,24,1,196,5.6,427,2209,26:56:00,2,5,28.6,78,122,36,44,AS-17
2009-10,35,PHI,NHL,82,10,45,55,22,79,5,5,0,2,23,21,1,175,5.7,343,2126,25:56:00,0,0,,104,189,40,58,AS-5Hart-23Norris-5
2010-11,36,PHI,NHL,50,4,21,25,7,44,1,3,0,1,9,11,1,112,3.6,242,1125,22:30,0,0,,41,114,19,26,AS-18Hart-23Norris-10
2011-12,37,PHI,NHL,13,1,11,12,1,10,0,1,0,0,4,7,0,23,4.3,46,292,22:29,0,0,,15,27,7,7,
